,ticker,date,open,high,low,close,adj close,volume,CDL2CROWS,CDL3BLACKCROWS,CDL3INSIDE,CDL3LINESTRIKE,CDL3OUTSIDE,CDL3STARSINSOUTH,CDL3WHITESOLDIERS,CDLABANDONEDBABY,CDLADVANCEBLOCK,CDLBELTHOLD,CDLBREAKAWAY,CDLCLOSINGMARUBOZU,CDLCONCEALBABYSWALL,CDLCOUNTERATTACK,CDLDARKCLOUDCOVER,CDLDOJI,CDLDOJISTAR,CDLDRAGONFLYDOJI,CDLENGULFING,CDLEVENINGDOJISTAR,CDLEVENINGSTAR,CDLGAPSIDESIDEWHITE,CDLGRAVESTONEDOJI,CDLHAMMER,CDLHANGINGMAN,CDLHARAMI,CDLHARAMICROSS,CDLHIGHWAVE,CDLHIKKAKE,CDLHIKKAKEMOD,CDLHOMINGPIGEON,CDLIDENTICAL3CROWS,CDLINNECK,CDLINVERTEDHAMMER,CDLKICKING,CDLKICKINGBYLENGTH,CDLLADDERBOTTOM,CDLLONGLEGGEDDOJI,CDLLONGLINE,CDLMARUBOZU,CDLMATCHINGLOW,CDLMATHOLD,CDLMORNINGDOJISTAR,CDLMORNINGSTAR,CDLONNECK,CDLPIERCING,CDLRICKSHAWMAN,CDLRISEFALL3METHODS,CDLSEPARATINGLINES,CDLSHOOTINGSTAR,CDLSHORTLINE,CDLSPINNINGTOP,CDLSTALLEDPATTERN,CDLSTICKSANDWICH,CDLTAKURI,CDLTASUKIGAP,CDLTHRUSTING,CDLTRISTAR,CDLUNIQUE3RIVER,CDLUPSIDEGAP2CROWS,CDLXSIDEGAP3METHODS,SMA5,SMA10,SMA21,SMA50,SMA200,VOL20,RSI,ATR
416,ED,2024-12-20,88.78,90.53,88.78,90.03,90.03,4.84,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90.01400000000004,91.75899999999999,95.33142857142852,98.83919999999989,96.38740000000001,2.4940000000000007,27.98957440615123,1.6824654077323073
417,EDBL,2024-12-20,0.14,0.47,0.14,0.24,0.24,342.32,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16400000000000037,0.1649999999999951,0.16476190476190414,0.17179999999999918,2.119649999999998,18.289499999999997,69.7952663844267,0.04159028845721391
418,EDR,2024-12-20,30.9,31.3,30.72,31.21,31.21,1.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.076000000000022,30.831999999999987,30.502857142857156,29.718999999999987,27.650649999999974,2.174,82.50828041868748,0.30102692000614883
419,EE,2024-12-20,28.61,30.28,28.86,29.77,29.77,0.26,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.818000000000023,30.46799999999997,30.58857142857142,27.373800000000003,20.56415000000001,0.25250000000000006,51.64525474041387,1.2024557444795927
420,EEIQ,2024-12-20,1.05,1.11,1.04,1.06,1.06,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,100,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,1.0579999999999998,1.0480000000000016,1.0352380952380966,0.9017999999999996,0.8909999999999986,0.1129999999999999,61.25029817610371,0.09044334749541727
421,EFX,2024-12-20,254.9,262.94,254.58,258.43,258.43,1.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,263.2180000000004,263.5340000000003,261.83380952380935,266.1473999999998,263.09349999999995,1.0620000000000007,45.533082879412845,7.397402021002208
422,EG,2024-12-20,346.48,359.56,346.48,356.64,356.64,0.77,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,353.4320000000001,358.5559999999999,371.79476190476197,373.61099999999993,379.03220000000033,0.46349999999999997,38.723294805542565,7.449805377206127
423,EHAB,2024-12-20,7.62,7.83,7.57,7.65,7.65,0.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,100,0,0,0,0,100,0,0,0,0,0,0,0,0,0,8.017999999999999,8.299999999999999,8.02428571428572,7.634200000000001,8.823700000000004,0.45250000000000046,43.18186721444229,0.3933006055566669
424,EIX,2024-12-20,77.87,79.59,77.79,79.52,79.52,5.97,0,0,0,0,0,0,0,0,0,100,0,100,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.47600000000011,80.82699999999997,83.66809523809528,83.7098,78.37765000000005,2.210499999999999,35.75522944596267,1.4838320438946204
425,EL,2024-12-20,74.0,75.55,74.0,74.36,74.36,7.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76.3539999999999,78.83099999999989,76.54999999999993,76.8253999999999,105.80195000000005,5.086000000000003,44.32864982654045,2.7266230869425634
426,ELAB,2024-12-20,2.42,2.7,2.08,2.56,2.56,1.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.218000000000009,2.277000000000056,2.443809523809474,7.794399999999918,77.01459999999999,2.082499999999999,33.71951769219584,0.9555758725604565
427,ELTX,2024-12-20,5.0,5.02,4.7,4.88,4.88,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.011999999999994,5.162000000000003,5.076190476190477,4.919999999999996,5.9704999999999915,0.02550000000000014,46.24708931685787,0.3474075312494396
428,ELUT,2024-12-20,3.52,4.84,3.49,4.84,4.84,0.17,0,0,0,0,0,0,0,0,0,100,0,100,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.095999999999995,4.1090000000000035,4.2209523809523795,3.863600000000001,3.6294999999999993,0.04900000000000003,61.53008495841868,0.43933435200070375
429,ELV,2024-12-20,365.66,371.85,364.86,365.96,365.96,3.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,100,0,0,0,0,100,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,367.6600000000004,376.9179999999997,389.9185714285715,411.62559999999945,498.6532999999998,2.107000000000001,28.860144968311594,10.283238770526212
430,ELVN,2024-12-20,22.51,22.95,21.83,22.47,22.47,0.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,-100,100,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,100,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,23.15999999999998,23.424000000000014,23.98238095238093,26.150400000000023,22.826400000000007,0.20299999999999993,39.52841085247788,1.4846635345847414
431,EMN,2024-12-20,89.33,92.17,88.88,91.76,91.76,2.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92.91000000000005,96.15200000000002,100.104761904762,102.79080000000003,100.42705000000007,1.218499999999998,26.90482045767495,2.303556743956357
432,EMR,2024-12-20,121.25,124.75,121.09,124.09,124.09,10.43,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125.41800000000005,127.89000000000003,130.18142857142857,122.54999999999998,112.6782000000001,3.3169999999999993,41.65414016937814,2.7447781363766413
433,ENFN,2024-12-20,10.28,10.74,10.22,10.63,10.63,0.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,10.700000000000008,10.626000000000001,10.355238095238095,9.684000000000001,9.106750000000003,0.4765,59.57466823821673,0.36078926014957435
434,ENPH,2024-12-20,66.43,71.88,65.83,71.45,71.45,6.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,70.21399999999977,72.29800000000003,71.54095238095239,76.0218,104.39235000000009,3.6990000000000003,48.18825231883909,4.107617077031015
435,ENVX,2024-12-20,8.35,10.07,8.35,9.73,9.73,15.09,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,8.590000000000009,8.961000000000002,9.257142857142858,9.753399999999997,10.306900000000008,5.712999999999999,54.55765956518641,0.8333585264126641
